time,lat,lon,alt,label,user,x,y
2011-06-18 10:34:18,39.906058,116.389013,117.0,0,168,447774.7568043162,4417509.303483928
2011-06-18 10:34:19,39.906061,116.389139,116.0,0,168,447785.5292378383,4417509.562777487
2011-06-18 10:34:20,39.906065,116.389272,115.0,0,168,447796.9007713229,4417509.928984012
2011-06-18 10:34:21,39.906069,116.389411,114.0,0,168,447808.7851679177,4417510.291701037
2011-06-18 10:34:22,39.906073,116.389548,115.0,0,168,447820.49860825954,4417510.655605091
2011-06-18 10:34:23,39.906077,116.389686,114.0,0,168,447832.29752458754,4417511.018942971
2011-06-18 10:34:24,39.906081,116.389824,115.0,0,168,447844.0964394916,4417511.382299072
2011-06-18 10:34:25,39.906085,116.389961,114.0,0,168,447855.8098755765,4417511.746257275
2011-06-18 10:34:26,39.906091,116.390094,115.0,0,168,447867.18291665125,4417512.334547514
2011-06-18 10:34:27,39.906094,116.390229,115.0,0,168,447878.72463701636,4417512.588718811
2011-06-18 10:34:28,39.906098,116.390364,116.0,0,168,447890.26711396564,4417512.9538970925
2011-06-18 10:34:29,39.906102,116.390495,116.0,0,168,447901.4676800415,4417513.321426263
2011-06-18 10:34:30,39.906105,116.390623,119.0,0,168,447912.4110553502,4417513.579732042
2011-06-18 10:34:31,39.906107,116.390749,119.0,0,168,447923.18271776935,4417513.7282302035
2011-06-18 10:34:32,39.90611,116.390867,120.0,0,168,447933.2713176537,4417513.992397135
2011-06-18 10:34:34,39.906114,116.391083,122.0,0,168,447951.73745414393,4417514.310447749
2011-06-18 10:34:36,39.906119,116.39125,123.0,0,168,447966.01595484576,4417514.768080865
2011-06-18 10:34:38,39.906124,116.391384,124.0,0,168,447977.4737011698,4417515.244963108
2011-06-18 10:34:40,39.906129,116.391512,124.0,0,168,447988.4185817739,4417515.725356866
2011-06-18 10:34:42,39.906132,116.391636,124.0,0,168,447999.0200393093,4417515.98611631
2011-06-18 10:34:45,39.906136,116.391808,119.0,0,168,448013.72516334296,4417516.329937716
2011-06-18 10:34:48,39.90614,116.391974,121.0,0,168,448027.9174216711,4417516.677279116
2011-06-18 10:34:51,39.906146,116.392154,123.0,0,168,448043.3078714927,4417517.238480986
2011-06-18 10:34:53,39.90615,116.392323,123.0,0,168,448057.7565577919,4417517.584132502
2011-06-18 10:34:55,39.906157,116.392531,127.0,0,168,448075.5411218697,4417518.240104003
2011-06-18 10:34:57,39.906165,116.392761,129.0,0,168,448095.2069371729,4417518.994319897
2011-06-18 10:34:58,39.90617,116.392881,129.0,0,168,448105.4679839719,4417519.4795309445
2011-06-18 10:34:59,39.906175,116.393003,128.0,0,168,448115.8999837819,4417519.963593841
2011-06-18 10:35:00,39.906182,116.393131,128.0,0,168,448126.84635403723,4417520.666164977
2011-06-18 10:35:01,39.906188,116.393263,128.0,0,168,448138.1338769966,4417521.255439388
2011-06-18 10:35:02,39.906195,116.393393,127.0,0,168,448149.25119731994,4417521.956881184
2011-06-18 10:35:03,39.9062,116.393519,127.0,0,168,448160.0250989426,4417522.438681963
2011-06-18 10:35:04,39.906208,116.393644,126.0,0,168,448170.7157824219,4417523.254046878
2011-06-18 10:35:05,39.906215,116.393772,126.0,0,168,448181.6621416218,4417523.956696524
2011-06-18 10:35:06,39.906223,116.393907,126.0,0,168,448193.20759226894,4417524.766290659
2011-06-18 10:35:07,39.906229,116.394048,127.0,0,168,448205.2643972471,4417525.350443371
2011-06-18 10:35:08,39.906234,116.394191,126.0,0,168,448217.49140157003,4417525.822465917
2011-06-18 10:35:09,39.906237,116.394335,125.0,0,168,448229.8023758246,4417526.071949286
2011-06-18 10:35:10,39.90624,116.394485,125.0,0,168,448242.62621207244,4417526.317975208
2011-06-18 10:35:11,39.906246,116.394637,123.0,0,168,448255.62325850496,4417526.895832446
2011-06-18 10:35:12,39.906248,116.394794,123.0,0,168,448269.04467990896,4417527.026857419
2011-06-18 10:35:13,39.906253,116.39495,123.0,0,168,448282.38287912216,4417527.491453664
2011-06-18 10:35:14,39.906258,116.395108,122.0,0,168,448295.8920306572,4417527.9549153
2011-06-18 10:35:15,39.906262,116.395266,126.0,0,168,448309.40042860596,4417528.307411298
2011-06-18 10:35:16,39.906267,116.395416,127.0,0,168,448322.22575905855,4417528.775549922
2011-06-18 10:35:17,39.906272,116.395562,127.0,0,168,448334.7091790068,4417529.246024132
2011-06-18 10:35:18,39.906278,116.395705,129.0,0,168,448346.93691667554,4417529.829243395
2011-06-18 10:35:19,39.906282,116.395844,128.0,0,168,448358.8212419693,4417530.192816151
2011-06-18 10:35:20,39.906287,116.395981,127.0,0,168,448370.53536224074,4417530.668553149
2011-06-18 10:35:21,39.90629,116.396118,126.0,0,168,448382.2479797689,4417530.92232906
2011-06-18 10:35:22,39.906294,116.396252,123.0,0,168,448393.7049152,4417531.288846019
2011-06-18 10:35:23,39.906299,116.396389,123.0,0,168,448405.41903073614,4417531.764636505
2011-06-18 10:35:24,39.906304,116.396525,122.0,0,168,448417.0476674147,4417532.2410225505
2011-06-18 10:35:25,39.90631,116.396659,122.0,0,168,448428.50609798176,4417532.829570743
2011-06-18 10:35:26,39.906316,116.396792,124.0,0,168,448439.8790494136,4417533.418713458
2011-06-18 10:35:27,39.906325,116.396923,123.0,0,168,448451.0832931391,4417534.341996086
2011-06-18 10:35:28,39.906334,116.397051,123.0,0,168,448462.0311026962,4417535.267026399
2011-06-18 10:35:29,39.906344,116.397178,122.0,0,168,448472.89418147027,4417536.303638877
2011-06-18 10:35:30,39.906355,116.397307,122.0,0,168,448483.9289601367,4417537.450102617
2011-06-18 10:35:31,39.906365,116.397431,122.0,0,168,448494.5356012565,4417538.488476377
2011-06-18 10:35:32,39.906373,116.397558,121.0,0,168,448505.3971728724,4417539.303155988
2011-06-18 10:35:33,39.906382,116.397678,119.0,0,168,448515.6611514537,4417540.232875957
2011-06-18 10:35:34,39.906387,116.397801,118.0,0,168,448526.178564668,4417540.716922507
2011-06-18 10:35:35,39.90639,116.397918,119.0,0,168,448536.1816178629,4417540.982462041
2011-06-18 10:35:37,39.906397,116.398144,121.0,0,168,448555.504653633,4417541.62917825
2011-06-18 10:35:39,39.906403,116.398372,120.0,0,168,448574.99789157714,4417542.163802169
2011-06-18 10:35:40,39.906406,116.398492,120.0,0,168,448585.2573710395,4417542.4276785
2011-06-18 10:35:41,39.906407,116.398612,120.0,0,168,448595.5153547724,4417542.469589579
2007-08-08 04:23:42,39.9062,116.392633333333,167.322834645669,0,157,448084.3207558432,4417522.953160751
2007-08-08 04:24:34,39.9059666666667,116.395033333333,164.041994750656,0,157,448289.29069992655,4417495.663198135
2007-08-08 04:24:44,39.9062333333333,116.395433333333,164.041994750656,0,157,448323.6820677237,4417525.028872685
2007-08-08 04:25:25,39.9063166666667,116.395916666667,157.48031496063,0,157,448365.0586059976,4417533.998436377
2008-06-06 23:49:06,39.906126,116.38897,129.0,11,167,447771.132912373,4417516.875919632
2008-06-06 23:49:07,39.906129,116.389062,127.0,11,167,447778.9991058456,4417517.155088466
2008-06-06 23:49:08,39.90613,116.389164,125.0,11,167,447787.7185537062,4417517.206439868
2008-06-06 23:49:09,39.906126,116.389269,123.0,11,167,447796.690638277,4417516.701099879
2008-06-06 23:49:10,39.906129,116.389378,121.0,11,167,447806.009945333,4417516.970359524
2008-06-06 23:49:11,39.90613,116.389497,120.0,11,167,447816.1825074588,4417517.011808197
2008-06-06 23:49:12,39.906135,116.389618,120.0,11,167,447826.5290582013,4417517.496060195
2008-06-06 23:49:13,39.906146,116.389742,121.0,11,167,447837.1365898728,4417518.644511207
2008-06-06 23:49:14,39.906148,116.389874,120.0,11,167,447848.42111226614,4417518.789399327
2008-06-06 23:49:15,39.906156,116.390002,117.0,11,167,447859.3682732674,4417519.602576725
2008-06-06 23:49:16,39.906164,116.390131,116.0,11,167,447870.4009089721,4417520.415186085
2008-06-06 23:49:17,39.906166,116.390267,114.0,11,167,447882.02733646584,4417520.5577890035
